abandoned_at_ordering,abandoned_at_seating,average_ordering_wait_time,average_wait_time,description,kind,longest_queue_length,max_queue_length_queue_1_2,max_queue_length_queue_3_4,max_queue_length_queue_5plus,max_queue_length_queue_all,max_wait_time,min_wait_time,output_file,pair_id,peak_ordering_queue_length,peak_seating_queue_length,rejected_groups,reservation_groups_served,reservation_no_shows,reservation_tables_released,run_id,scenario_file,seed,served_groups,server_utilization_rate,service_level_rate,table_utilization_rate,table_utilization_size_2,table_utilization_size_4,table_utilization_size_6
0.0,18.0,0.3181818181818182,11.045454545454545,Queue type x arrival pattern.,factorial,17.0,6.0,8.0,4.0,,33.0,2.0,outputs/v2/F2/F2_D_seed42.txt,F2,1.0,17.0,18.0,0.0,0.0,0.0,D,outputs/v2/F2/F2_D_seed42.json,42,22.0,0.18695652173913044,0.7272727272727273,0.44648829431438125,0.45304347826086955,0.4311594202898551,0.47608695652173916
0.0,9.0,0.0,8.612903225806452,Queue type x arrival pattern.,factorial,9.0,,,,8.0,23.0,2.0,outputs/v2/F2/F2_A_seed123.txt,F2,0.0,8.0,9.0,0.0,0.0,0.0,A,outputs/v2/F2/F2_A_seed123.json,123,31.0,0.1827956989247312,0.9032258064516129,0.662885501595179,0.6396313364055299,0.662826420890937,0.7211981566820277
0.0,9.0,0.0,8.612903225806452,Queue type x arrival pattern.,factorial,9.0,5.0,2.0,2.0,,23.0,2.0,outputs/v2/F2/F2_B_seed123.txt,F2,0.0,8.0,9.0,0.0,0.0,0.0,B,outputs/v2/F2/F2_B_seed123.json,123,31.0,0.1827956989247312,0.9032258064516129,0.662885501595179,0.6396313364055299,0.662826420890937,0.7211981566820277
0.0,19.0,0.14285714285714285,10.380952380952381,Queue type x arrival pattern.,factorial,15.0,,,,14.0,29.0,2.0,outputs/v2/F2/F2_C_seed123.txt,F2,1.0,14.0,19.0,0.0,0.0,0.0,C,outputs/v2/F2/F2_C_seed123.json,123,21.0,0.19162640901771336,0.7619047619047619,0.5024154589371981,0.5526570048309178,0.46296296296296297,0.49516908212560384
0.0,19.0,0.14285714285714285,10.380952380952381,Queue type x arrival pattern.,factorial,15.0,9.0,5.0,2.0,,29.0,2.0,outputs/v2/F2/F2_D_seed123.txt,F2,1.0,14.0,19.0,0.0,0.0,0.0,D,outputs/v2/F2/F2_D_seed123.json,123,21.0,0.19162640901771336,0.7619047619047619,0.5024154589371981,0.5526570048309178,0.46296296296296297,0.49516908212560384
0.0,12.0,0.03571428571428571,11.285714285714286,Queue type x arrival pattern.,factorial,10.0,,,,10.0,26.0,2.0,outputs/v2/F2/F2_A_seed999.txt,F2,1.0,10.0,12.0,0.0,0.0,0.0,A,outputs/v2/F2/F2_A_seed999.json,999,28.0,0.22388059701492538,0.8928571428571429,0.6498277841561424,0.608955223880597,0.6442786069651741,0.7686567164179104
0.0,12.0,0.03571428571428571,11.285714285714286,Queue type x arrival pattern.,factorial,10.0,5.0,4.0,2.0,,26.0,2.0,outputs/v2/F2/F2_B_seed999.txt,F2,1.0,10.0,12.0,0.0,0.0,0.0,B,outputs/v2/F2/F2_B_seed999.json,999,28.0,0.22388059701492538,0.8928571428571429,0.6498277841561424,0.608955223880597,0.6442786069651741,0.7686567164179104
0.0,20.0,0.55,11.3,Queue type x arrival pattern.,factorial,14.0,,,,14.0,32.0,2.0,outputs/v2/F2/F2_C_seed999.txt,F2,2.0,14.0,20.0,0.0,0.0,0.0,C,outputs/v2/F2/F2_C_seed999.json,999,20.0,0.21226415094339623,0.7,0.4909288824383164,0.45943396226415095,0.46226415094339623,0.6556603773584906
0.0,20.0,0.55,11.3,Queue type x arrival pattern.,factorial,14.0,5.0,5.0,4.0,,32.0,2.0,outputs/v2/F2/F2_D_seed999.txt,F2,2.0,14.0,20.0,0.0,0.0,0.0,D,outputs/v2/F2/F2_D_seed999.json,999,20.0,0.21226415094339623,0.7,0.4909288824383164,0.45943396226415095,0.46226415094339623,0.6556603773584906
1.0,15.0,0.125,4.708333333333333,Ordering configuration x patience.,factorial,6.0,,,,6.0,16.0,2.0,outputs/v2/F3/F3_A_seed42.txt,F3,1.0,6.0,16.0,0.0,0.0,0.0,A,outputs/v2/F3/F3_A_seed42.json,42,24.0,0.21761658031088082,1.0,0.5910721402949383,0.5917098445595855,0.5993091537132987,0.5647668393782384
