abandoned_at_ordering_max,abandoned_at_ordering_mean,abandoned_at_ordering_min,abandoned_at_ordering_range,abandoned_at_seating_max,abandoned_at_seating_mean,abandoned_at_seating_min,abandoned_at_seating_range,average_ordering_wait_time_max,average_ordering_wait_time_mean,average_ordering_wait_time_min,average_ordering_wait_time_range,average_wait_time_max,average_wait_time_mean,average_wait_time_min,average_wait_time_range,description,kind,longest_queue_length_max,longest_queue_length_mean,longest_queue_length_min,longest_queue_length_range,max_queue_length_queue_1_2_max,max_queue_length_queue_1_2_mean,max_queue_length_queue_1_2_min,max_queue_length_queue_1_2_range,max_queue_length_queue_3_4_max,max_queue_length_queue_3_4_mean,max_queue_length_queue_3_4_min,max_queue_length_queue_3_4_range,max_queue_length_queue_5plus_max,max_queue_length_queue_5plus_mean,max_queue_length_queue_5plus_min,max_queue_length_queue_5plus_range,max_queue_length_queue_all_max,max_queue_length_queue_all_mean,max_queue_length_queue_all_min,max_queue_length_queue_all_range,max_wait_time_max,max_wait_time_mean,max_wait_time_min,max_wait_time_range,min_wait_time_max,min_wait_time_mean,min_wait_time_min,min_wait_time_range,pair_id,peak_ordering_queue_length_max,peak_ordering_queue_length_mean,peak_ordering_queue_length_min,peak_ordering_queue_length_range,peak_seating_queue_length_max,peak_seating_queue_length_mean,peak_seating_queue_length_min,peak_seating_queue_length_range,rejected_groups_max,rejected_groups_mean,rejected_groups_min,rejected_groups_range,reservation_groups_served_max,reservation_groups_served_mean,reservation_groups_served_min,reservation_groups_served_range,reservation_no_shows_max,reservation_no_shows_mean,reservation_no_shows_min,reservation_no_shows_range,reservation_tables_released_max,reservation_tables_released_mean,reservation_tables_released_min,reservation_tables_released_range,run_id,seed_count,served_groups_max,served_groups_mean,served_groups_min,served_groups_range,server_utilization_rate_max,server_utilization_rate_mean,server_utilization_rate_min,server_utilization_rate_range,service_level_rate_max,service_level_rate_mean,service_level_rate_min,service_level_rate_range,table_utilization_rate_max,table_utilization_rate_mean,table_utilization_rate_min,table_utilization_rate_range,table_utilization_size_2_max,table_utilization_size_2_mean,table_utilization_size_2_min,table_utilization_size_2_range,table_utilization_size_4_max,table_utilization_size_4_mean,table_utilization_size_4_min,table_utilization_size_4_range,table_utilization_size_6_max,table_utilization_size_6_mean,table_utilization_size_6_min,table_utilization_size_6_range
0.0,0.0,0.0,0.0,15.0,14.0,12.0,3.0,0.23809523809523808,0.18516218081435473,0.1,0.13809523809523808,12.047619047619047,9.101380262249828,7.3,4.747619047619048,Strategy x table inventory.,factorial,13.0,12.0,11.0,2.0,,,,,,,,,,,,,12.0,11.0,10.0,2.0,33.0,30.333333333333332,28.0,5.0,2.0,2.0,2.0,0.0,F1,2.0,1.3333333333333333,1.0,1.0,12.0,11.0,10.0,2.0,20.0,18.666666666666668,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,3,23.0,21.333333333333332,20.0,3.0,0.2037037037037037,0.1907981194587891,0.1839080459770115,0.0197956577266922,0.9,0.8120772946859903,0.6666666666666666,0.2333333333333334,0.5870279146141215,0.5757691740950112,0.5551346801346801,0.03189323447944137,0.5868226600985221,0.5547721156557364,0.49936868686868685,0.08745397322983528,0.6666666666666666,0.6177632909735609,0.5874384236453202,0.07922824302134646,,,,
0.0,0.0,0.0,0.0,15.0,13.666666666666666,11.0,4.0,0.20833333333333334,0.16626984126984126,0.1,0.10833333333333334,10.476190476190476,8.786507936507936,6.8,3.6761904761904765,Strategy x table inventory.,factorial,13.0,12.0,11.0,2.0,,,,,,,,,,,,,12.0,11.0,10.0,2.0,32.0,27.666666666666668,23.0,9.0,2.0,2.0,2.0,0.0,F1,2.0,1.3333333333333333,1.0,1.0,12.0,11.0,10.0,2.0,20.0,18.333333333333332,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3,24.0,21.666666666666668,20.0,4.0,0.2037037037037037,0.1907981194587891,0.1839080459770115,0.0197956577266922,0.9,0.8317460317460318,0.7619047619047619,0.13809523809523816,0.6219211822660099,0.5845090321602066,0.5500841750841751,0.07183700718183483,0.6391625615763546,0.5671682444311754,0.4842171717171717,0.15494538985918294,0.6818181818181818,0.6191906076182687,0.5874384236453202,0.0943797581728616,,,,
0.0,0.0,0.0,0.0,21.0,20.0,19.0,2.0,0.10526315789473684,0.08429406850459482,0.047619047619047616,0.05764411027568922,13.473684210526315,12.13408521303258,10.428571428571429,3.045112781954886,Strategy x table inventory.,factorial,18.0,15.0,13.0,5.0,,,,,,,,,,,,,17.0,14.333333333333334,13.0,4.0,36.0,30.333333333333332,24.0,12.0,2.0,2.0,2.0,0.0,F1,1.0,1.0,1.0,0.0,17.0,14.333333333333334,13.0,4.0,21.0,20.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,3,21.0,20.0,19.0,2.0,0.2393617021276596,0.22893576870367227,0.20987654320987653,0.029485158917783055,0.8571428571428571,0.7462406015037594,0.631578947368421,0.22556390977443608,0.7077348066298342,0.6705545531649525,0.6425531914893617,0.06518161514047249,0.7900552486187845,0.7344904414229676,0.6356382978723404,0.15441695074644413,0.712707182320442,0.67439830389705,0.6283068783068783,0.08440030401356369,0.6616022099447514,0.6347428583038474,0.6063829787234043,0.05521923122134709
0.0,0.0,0.0,0.0,22.0,20.333333333333332,19.0,3.0,0.15,0.06851851851851852,0.0,0.15,9.8,8.85925925925926,8.0,1.8000000000000007,Strategy x table inventory.,factorial,18.0,15.0,13.0,5.0,,,,,,,,,,,,,17.0,14.333333333333334,13.0,4.0,28.0,26.666666666666668,24.0,4.0,2.0,2.0,2.0,0.0,F1,1.0,0.6666666666666666,0.0,1.0,17.0,14.333333333333334,13.0,4.0,22.0,20.333333333333332,19.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,21.0,19.666666666666668,18.0,3.0,0.25280898876404495,0.22885989514044652,0.21212121212121213,0.040687776642832824,0.9047619047619048,0.8812169312169312,0.85,0.05476190476190479,0.6727272727272727,0.6577186202345475,0.6426966292134831,0.03003064351378959,0.8324742268041238,0.7344703189869821,0.651685393258427,0.18078883354569675,0.7247191011235955,0.6753322449837532,0.6301546391752577,0.09456446194833779,0.6510695187165776,0.6017291461091244,0.5561797752808989,0.09488974343567869
0.0,0.0,0.0,0.0,12.0,10.0,9.0,3.0,0.03571428571428571,0.011904761904761904,0.0,0.03571428571428571,11.285714285714286,9.697388632872505,8.612903225806452,2.6728110599078345,Queue type x arrival pattern.,factorial,10.0,9.333333333333334,9.0,1.0,,,,,,,,,,,,,10.0,8.666666666666666,8.0,2.0,27.0,25.333333333333332,23.0,4.0,2.0,2.0,2.0,0.0,F2,1.0,0.3333333333333333,0.0,1.0,10.0,8.666666666666666,8.0,2.0,12.0,10.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,3,31.0,30.0,28.0,3.0,0.22388059701492538,0.19926246901692257,0.1827956989247312,0.041084898090194194,0.9032258064516129,0.8997695852534562,0.8928571428571429,0.010368663594469973,0.662885501595179,0.6570582747376199,0.6498277841561424,0.013057717439036609,0.6396313364055299,0.6179732978731534,0.6053333333333333,0.03429800307219666,0.7570370370370371,0.6880473549643827,0.6442786069651741,0.11275843007186293,0.7686567164179104,0.6618034762184979,0.4955555555555556,0.27310116086235486
0.0,0.0,0.0,0.0,12.0,10.0,9.0,3.0,0.03571428571428571,0.011904761904761904,0.0,0.03571428571428571,11.285714285714286,9.697388632872505,8.612903225806452,2.6728110599078345,Queue type x arrival pattern.,factorial,10.0,9.333333333333334,9.0,1.0,5.0,4.0,2.0,3.0,6.0,4.0,2.0,4.0,2.0,2.0,2.0,0.0,,,,,27.0,25.333333333333332,23.0,4.0,2.0,2.0,2.0,0.0,F2,1.0,0.3333333333333333,0.0,1.0,10.0,8.666666666666666,8.0,2.0,12.0,10.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3,31.0,30.0,28.0,3.0,0.22388059701492538,0.19926246901692257,0.1827956989247312,0.041084898090194194,0.9032258064516129,0.8997695852534562,0.8928571428571429,0.010368663594469973,0.662885501595179,0.6570582747376199,0.6498277841561424,0.013057717439036609,0.6396313364055299,0.6179732978731534,0.6053333333333333,0.03429800307219666,0.7570370370370371,0.6880473549643827,0.6442786069651741,0.11275843007186293,0.7686567164179104,0.6618034762184979,0.4955555555555556,0.27310116086235486
0.0,0.0,0.0,0.0,20.0,19.0,18.0,2.0,0.55,0.33701298701298704,0.14285714285714285,0.4071428571428572,11.3,10.90880230880231,10.380952380952381,0.9190476190476193,Queue type x arrival pattern.,factorial,17.0,15.333333333333334,14.0,3.0,,,,,,,,,,,,,17.0,15.0,14.0,3.0,33.0,31.333333333333332,29.0,4.0,2.0,2.0,2.0,0.0,F2,2.0,1.3333333333333333,1.0,1.0,17.0,15.0,14.0,3.0,20.0,19.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,3,22.0,21.0,20.0,2.0,0.21226415094339623,0.19694902723341334,0.18695652173913044,0.025307629204265797,0.7619047619047619,0.7297258297258297,0.7,0.06190476190476191,0.5024154589371981,0.4799442118966319,0.44648829431438125,0.05592716462281683,0.5526570048309178,0.48837814845197947,0.45304347826086955,0.0996135265700483,0.46296296296296297,0.45212884473207143,0.4311594202898551,0.031803542673107865,0.6556603773584906,0.5423054720019446,0.47608695652173916,0.17957342083675143
0.0,0.0,0.0,0.0,20.0,19.0,18.0,2.0,0.55,0.33701298701298704,0.14285714285714285,0.4071428571428572,11.3,10.90880230880231,10.380952380952381,0.9190476190476193,Queue type x arrival pattern.,factorial,17.0,15.333333333333334,14.0,3.0,9.0,6.666666666666667,5.0,4.0,8.0,6.0,5.0,3.0,4.0,3.3333333333333335,2.0,2.0,,,,,33.0,31.333333333333332,29.0,4.0,2.0,2.0,2.0,0.0,F2,2.0,1.3333333333333333,1.0,1.0,17.0,15.0,14.0,3.0,20.0,19.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D,3,22.0,21.0,20.0,2.0,0.21226415094339623,0.19694902723341334,0.18695652173913044,0.025307629204265797,0.7619047619047619,0.7297258297258297,0.7,0.06190476190476191,0.5024154589371981,0.4799442118966319,0.44648829431438125,0.05592716462281683,0.5526570048309178,0.48837814845197947,0.45304347826086955,0.0996135265700483,0.46296296296296297,0.45212884473207143,0.4311594202898551,0.031803542673107865,0.6556603773584906,0.5423054720019446,0.47608695652173916,0.17957342083675143
5.0,2.6666666666666665,1.0,4.0,18.0,16.0,15.0,3.0,0.15,0.10833333333333334,0.05,0.09999999999999999,6.8,5.402777777777778,4.7,2.0999999999999996,Ordering configuration x patience.,factorial,8.0,7.333333333333333,6.0,2.0,,,,,,,,,,,,,8.0,7.0,6.0,2.0,20.0,16.666666666666668,14.0,6.0,2.0,2.0,2.0,0.0,F3,2.0,1.3333333333333333,1.0,1.0,8.0,7.0,6.0,2.0,20.0,18.666666666666668,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A,3,24.0,21.333333333333332,20.0,4.0,0.25,0.2260149619037511,0.21042830540037244,0.03957169459962756,1.0,1.0,1.0,0.0,0.5910721402949383,0.5671162450694682,0.5541958041958042,0.0368763360991341,0.6089385474860335,0.569155524621267,0.5068181818181818,0.10212036566785165,0.6401515151515151,0.5940970696340193,0.542830540037244,0.09732097511427118,0.5647668393782384,0.48107557249631816,0.4147727272727273,0.14999411210551106
6.0,4.666666666666667,3.0,3.0,16.0,14.666666666666666,13.0,3.0,0.16666666666666666,0.09064327485380116,0.05263157894736842,0.11403508771929824,7.526315789473684,5.808479532163743,4.315789473684211,3.2105263157894735,Ordering configuration x patience.,factorial,7.0,6.333333333333333,5.0,2.0,,,,,,,,,,,,,7.0,6.333333333333333,5.0,2.0,19.0,15.666666666666666,13.0,6.0,3.0,2.3333333333333335,2.0,1.0,F3,2.0,2.0,2.0,0.0,7.0,6.333333333333333,5.0,2.0,21.0,19.333333333333332,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,B,3,24.0,20.666666666666668,19.0,5.0,0.2346368715083799,0.21476477563040797,0.19722222222222222,0.037414649286157675,1.0,1.0,1.0,0.0,0.5910721402949383,0.5447241534036336,0.5158119658119659,0.0752601744829724,0.5917098445595855,0.5333446223019848,0.4983240223463687,0.09338582221321684,0.5993091537132987,0.5743093413267379,0.5388888888888889,0.060420264824409875,0.5647668393782384,0.4844174173884424,0.4273743016759777,0.13739253770226068
